rule_name,spec_text,cp_name_1,coverage_desc_1,cp_name_2,coverage_desc_2,cp_name_3,coverage_desc_3,cp_name_4,coverage_desc_4,cp_name_5,coverage_desc_5,cp_name_6,coverage_desc_6,cp_name_7,coverage_desc_7,cp_name_8,coverage_desc_8,cp_name_9,coverage_desc_9,cp_name_10,coverage_desc_10,cp_name_11,coverage_desc_11,cp_name_12,coverage_desc_12,cp_name_13,coverage_desc_13,cp_name_14,coverage_desc_14,cp_name_15,coverage_desc_15,cp_name_16,coverage_desc_16,cp_name_17,coverage_desc_17,cp_name_18,coverage_desc_18,cp_name_19,coverage_desc_19,cp_name_20,coverage_desc_20,cp_name_21,coverage_desc_21,cp_name_22,coverage_desc_22,cp_name_23,coverage_desc_23,coverage_status,explanation,gaps,cp_name_24,coverage_desc_24,cp_name_25,coverage_desc_25,cp_name_26,coverage_desc_26,cp_name_27,coverage_desc_27,cp_name_28,coverage_desc_28,cp_name_29,coverage_desc_29,cp_name_30,coverage_desc_30,cp_name_31,coverage_desc_31,cp_name_32,coverage_desc_32,cp_name_33,coverage_desc_33,cp_name_34,coverage_desc_34,cp_name_35,coverage_desc_35,cp_name_36,coverage_desc_36
vsstatus-vs_acc,"When the hypervisor extension is present, a vector context status field, VS, is added to vsstatus[10:9]. It is defined analogously to the floating-point context status field, FS.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Coverpoint accesses and sets vsstatus.VS to different values, verifying the field is accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_mstatus_vs_off / cp_vsstatus_vs_off coverpoint exercises vsstatus-vs_acc, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-vs_op_off,"Attempts to execute any vector instruction, or to access the vector CSRs, raise an illegal-instruction exception when mstatus.VS is set to Off.",cp_mstatus_vs_off / cp_vsstatus_vs_off,Directly tests that vector instructions raise illegal-instruction exception when mstatus.VS is set to Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_mstatus_vs_off / cp_vsstatus_vs_off coverpoint exercises mstatus-vs_op_off, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-vs_op_active,"When V=1 and neither vsstatus.VS nor mstatus.VS is set to Off, executing any instruction that changes vector state, including the vector CSRs, will change both mstatus.VS and vsstatus.VS to Dirty.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"By testing all 16 combinations of mstatus.VS and vsstatus.VS (0-3 each), the non-Off cases implicitly cover the active behavior rule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_mstatus_vs_off / cp_vsstatus_vs_off coverpoint exercises mstatus-vs_op_active, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
sstatus-vs_op,"A vector context status field, VS, is added to mstatus[10:9] and shadowed in sstatus[10:9].  It is defined analogously to the floating-point context status field, FS.",untestable,Requires privileged-mode test infrastructure (S-mode/H-mode); not in current scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,sstatus.VS exists in supervisor mode only; verifying it shadows mstatus.VS[10:9] requires S-mode context switches outside the unprivileged vector test scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_op2,[MISSING: norm:vsstatus-vs_op],untestable,Requires privileged-mode test infrastructure (S-mode/H-mode); not in current scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,vsstatus.VS is a hypervisor-extension CSR; testing it requires H-mode virtualization infrastructure entirely outside unprivileged vector tests.,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_op_off,"When V=1, both vsstatus.VS and mstatus.VS are in effect: attempts to execute any vector instruction, or to access the vector CSRs, raise an illegal-instruction exception when either field is set to Off.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Tests that when V=1, vector instructions raise illegal-instruction exception when vsstatus.VS is set to Off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_mstatus_vs_off / cp_vsstatus_vs_off coverpoint exercises vsstatus-vs_op_off, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_op_active,"When V=1 and neither vsstatus.VS nor mstatus.VS is set to Off, executing any instruction that changes vector state, including the vector CSRs, will change both mstatus.VS and vsstatus.VS to Dirty.",cp_mstatus_vs_off / cp_vsstatus_vs_off,Coverpoint exercises vsstatus.VS state transitions when V=1 and neither field is Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_mstatus_vs_off / cp_vsstatus_vs_off coverpoint exercises vsstatus-vs_op_active, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-sd_op_vs,"If vsstatus.VS is Dirty, vsstatus.SD is 1; otherwise, vsstatus.SD is set in accordance with existing specifications.",untestable,Requires privileged-mode test infrastructure (S-mode/H-mode); not in current scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"Rule governs vsstatus.SD based on vsstatus.VS dirty state, a hypervisor CSR linkage requiring H-mode test infrastructure not available in the unprivileged vector suite.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-sd_op,"If mstatus.VS is Dirty, mstatus.SD is 1; otherwise, mstatus.SD is set in accordance with existing specifications.",untestable,Requires privileged-mode test infrastructure (S-mode/H-mode); not in current scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,Rule governs mstatus.SD based on mstatus.VS dirty state; observing and asserting M-mode CSR linkage requires privileged test infrastructure outside the unprivileged vector scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-sd_op_vs,"If mstatus.VS is Dirty, mstatus.SD is 1; otherwise, mstatus.SD is set in accordance with existing specifications.",untestable,Requires privileged-mode test infrastructure (S-mode/H-mode); not in current scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,Same as mstatus-sd_op: verifying mstatus.SD=1 when mstatus.VS=Dirty requires M-mode CSR access outside the unprivileged vector test scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTABLE_MISA_V,Implementations may have a writable misa.V field.,cp_misa_v_clear_set,"SmV cp_misa_v_clear_set attempts to write misa.V field, testing whether it is writable (implementation-defined).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_misa_v_clear_set coverpoint exercises MUTABLE_MISA_V, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
MSTATUS_VS_EXISTS,"Analogous to the way in which the floating-point unit is handled, the mstatus.VS field may exist even if misa.V is clear.",untestable,Requires privileged-mode test infrastructure (S-mode/H-mode); not in current scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"Rule permits mstatus.VS to exist even when misa.V is clear; verifying that requires clearing misa.V (M-mode writable) and observing mstatus.VS, which requires privileged infrastructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,
VSSTATUS_VS_EXISTS,"For implementations with a writable misa.V field, the vsstatus.VS field may exist even if misa.V is clear.",untestable,Requires privileged-mode test infrastructure (S-mode/H-mode); not in current scope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,Rule applies to implementations with writable misa.V; verifying vsstatus.VS persistence when misa.V is cleared requires H-mode and M-mode test infrastructure.,,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype_sz,"The read-only XLEN-wide vector type CSR, vtype provides the default type used to interpret the contents of the vector register file, and can only be updated by vset{i}vl{i} instructions.",cp_vtype_walking1s,Walking 1s across all XLEN bits confirms the full XLEN-wide width of vtype is exercised through the rs2 operand of vsetvl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_vtype_walking1s coverpoint exercises vtype_sz, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype_op,"The read-only XLEN-wide vector type CSR, vtype provides the default type used to interpret the contents of the vector register file, and can only be updated by vset{i}vl{i} instructions.",cp_sew_lmul_vset_i_vli,"cp_sew_lmul_vset_i_vli uses vset{i}vli to configure all SEW/LMUL combinations, directly exercising the vtype update mechanism — the only legal path — and confirming vtype is used to interpret subsequent vector operations.",cp_sew_lmul_vsetvl,"cp_sew_lmul_vsetvl uses vsetvl with rs2 encoding all SEW/LMUL combinations, verifying the vtype update path via the rs2-register form and exercising vtype interpretation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,The rule states vtype is a read-only CSR updated exclusively by vset{i}vl{i}. cp_sew_lmul_vset_i_vli and cp_sew_lmul_vsetvl together exercise every legal vtype update path and confirm vtype controls subsequent vector operation behavior.,No test explicitly attempts to write vtype via a non-vset path to confirm it is read-only; that would require a CSR-write attempt to the vtype address.,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vill_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking a 1 into the reserved bits vtype[XLEN-2:8] tests that non-zero values in these reserved fields are detected, exercising the XLEN-wide vtype size requirement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_vtype_walking1s coverpoint exercises vtype-vill_sz, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vma_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking 1s covers the vma bit position, exercising that the vma field is part of the XLEN-wide vtype encoding checked by the implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_vtype_walking1s coverpoint exercises vtype-vma_sz, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vta_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking 1s covers the vta bit position, exercising that the vta field is part of the XLEN-wide vtype encoding checked by the implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_vtype_walking1s coverpoint exercises vtype-vta_sz, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vsew_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking 1s covers each vsew bit individually, exercising that vsew[2:0] is properly decoded as part of the XLEN-wide vtype.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_vtype_walking1s coverpoint exercises vtype-vsew_sz, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vlmul_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking 1s covers each vlmul bit individually, exercising that vlmul[2:0] is properly decoded as part of the XLEN-wide vtype.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_vtype_walking1s coverpoint exercises vtype-vlmul_sz, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vsew_op,"The value in vsew sets the dynamic selected element width (SEW).  By default, a vector register is viewed as being divided into VLEN/SEW elements.",cp_sew_lmul_vset_i_vli,"cp_sew_lmul_vset_i_vli sets all supported SEW values via vset{i}vli, directly exercising the vsew field and confirming each SEW divides the vector register into the expected VLEN/SEW elements.",cr_vl_lmul,"cr_vl_lmul crosses all LMUL values with vl={1,random,VLMAX}, implicitly relying on the vsew-defined element width to produce correct results across legal configurations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The rule states vsew sets the dynamic SEW, dividing each vector register into VLEN/SEW elements. cp_sew_lmul_vset_i_vli exercises all SEW configurations; cr_vl_lmul confirms operations use those SEW values correctly.",No coverpoint explicitly counts VLEN/SEW elements per register to numerically verify the partition formula.,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vsew_rsv,"While it is anticipated the larger vsew[2:0] encodings (100-111) will be used to encode larger SEW, the encodings are formally reserved at this point.",cp_ssstrictv_vsetvli_reserved_vsew,"Coverpoint explicitly exercises the reserved vsew[2:0] encodings 100-111, verifying the implementation handles these formally reserved encodings by setting vill.",cp_vtype_walking1s,"Walking 1s through vsew[2:0] will produce reserved encodings (100-111), partially testing that reserved SEW values are handled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The coverpoints (cp_ssstrictv_vsetvli_reserved_vsew, cp_vtype_walking1s) collectively exercise vtype-vsew_rsv across the relevant scenarios: edge values, register selections, masking patterns, LMUL/SEW configurations, and reserved encodings as applicable. Results are verified against the Sail reference model, providing coverage of the architectural behavior described by the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-lmul_val,"Implementations must support LMUL integer values of 1, 2, 4, and 8.",cr_vl_lmul,"cr_vl_lmul crosses all seven LMUL settings including integers 1/2/4/8 with multiple vl values, directly verifying that LMUL=1/2/4/8 are supported and produce correct results.",cp_sew_lmul_vset_i_vli,"cp_sew_lmul_vset_i_vli enumerates all SEW/LMUL combinations including integer LMUL settings, exercising the vtype.vlmul field encoding for each required integer value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The rule mandates support for integer LMUL values 1, 2, 4, and 8. cr_vl_lmul directly exercises these four LMUL settings across multiple vl values; cp_sew_lmul_vset_i_vli confirms vtype is set correctly for each.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-lmul_fval,"Implementations must provide fractional LMUL settings that allow the narrowest supported type to occupy a fraction of a vector register corresponding to the ratio of the narrowest supported type&#8217;s width to that of the largest supported type&#8217;s width.  In general, the requirement is to support LMUL ≥ SEWMIN/ELEN, where SEWMIN is the narrowest supported SEW value and ELEN is the widest supported SEW value.  In the standard extensions, SEWMIN=8.  For standard vector extensions with ELEN=32, fractional LMULs of 1/2 and 1/4 must be supported.  For standard vector extensions with ELEN=64, fractional LMULs of 1/2, 1/4, and 1/8 must be supported.",cr_vl_lmul,"cr_vl_lmul includes fractional LMUL settings f2/f4/f8 in its 7-way LMUL sweep, confirming the required fractional values are accepted and produce correct behavior.",cp_sew_lmul_vset_i_vli,"cp_sew_lmul_vset_i_vli exercises all SEW/LMUL combinations including fractional LMUL settings (1/2, 1/4, 1/8), verifying vtype is updated with the required fractional encodings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The rule requires fractional LMUL support (≥SEW_MIN/ELEN). cr_vl_lmul and cp_sew_lmul_vset_i_vli together exercise fractional LMULs 1/2, 1/4, and 1/8 across legal SEW values.","The minimum required fractional LMUL is ELEN-dependent (1/4 for ELEN=32, 1/8 for ELEN=64); tests that specifically target boundary fractional LMULs per ELEN value would strengthen coverage.",,,,,,,,,,,,,,,,,,,,,,,,,,
